ts_code,trade_date
000430.SZ,2023-03-01
000430.SZ,2023-03-02
000430.SZ,2023-03-03
000430.SZ,2023-03-06
000430.SZ,2023-03-07
000430.SZ,2023-03-08
000430.SZ,2023-03-09
000430.SZ,2023-03-10
000430.SZ,2023-03-13
000430.SZ,2023-03-14
000430.SZ,2023-03-15
000430.SZ,2023-03-16
000430.SZ,2023-03-17
000430.SZ,2023-03-20
000430.SZ,2023-03-21
000430.SZ,2023-03-22
000430.SZ,2023-03-23
000430.SZ,2023-03-24
000430.SZ,2023-03-27
000430.SZ,2023-03-28
000430.SZ,2023-03-29
000430.SZ,2023-03-30
000430.SZ,2023-03-31
000430.SZ,2023-04-03
000430.SZ,2023-04-04
000430.SZ,2023-04-06
000430.SZ,2023-04-07
000430.SZ,2023-04-10
000430.SZ,2023-04-11
000430.SZ,2023-04-12
000430.SZ,2023-04-13
000430.SZ,2023-04-14
000430.SZ,2023-04-17
000430.SZ,2023-04-18
000430.SZ,2023-04-19
000430.SZ,2023-04-20
000430.SZ,2023-04-21
000430.SZ,2023-04-24
000430.SZ,2023-04-25
000430.SZ,2023-04-26
000430.SZ,2023-04-27
000430.SZ,2023-04-28
000430.SZ,2023-05-04
000430.SZ,2023-05-05
000430.SZ,2023-05-08
000430.SZ,2023-05-09
000430.SZ,2023-05-10
000430.SZ,2023-05-11
000430.SZ,2023-05-12
000430.SZ,2023-05-15
000430.SZ,2023-05-16
000430.SZ,2023-05-17
000430.SZ,2023-05-18
000430.SZ,2023-05-19
000430.SZ,2023-05-22
000430.SZ,2023-05-23
000430.SZ,2023-05-24
000430.SZ,2023-05-25
000430.SZ,2023-05-26
000430.SZ,2023-05-29
000430.SZ,2023-05-30
000430.SZ,2023-05-31
000430.SZ,2023-06-01
000430.SZ,2023-06-02
000430.SZ,2023-06-05
000430.SZ,2023-06-06
000430.SZ,2023-06-07
000430.SZ,2023-06-08
000430.SZ,2023-06-09
000430.SZ,2023-06-12
000430.SZ,2023-06-13
000430.SZ,2023-06-14
000430.SZ,2023-06-15
000430.SZ,2023-06-16
000430.SZ,2023-06-19
000430.SZ,2023-06-20
000430.SZ,2023-06-21
000430.SZ,2023-06-26
000430.SZ,2023-06-27
000430.SZ,2023-06-28
000430.SZ,2023-06-29
000430.SZ,2023-06-30
000430.SZ,2023-07-03
000430.SZ,2023-07-04
000430.SZ,2023-07-05
000430.SZ,2023-07-06
000430.SZ,2023-07-07
000430.SZ,2023-07-10
000430.SZ,2023-07-11
000430.SZ,2023-07-12
000430.SZ,2023-07-13
000430.SZ,2023-07-14
000430.SZ,2023-07-17
000430.SZ,2023-07-18
000430.SZ,2023-07-19
000430.SZ,2023-07-20
000430.SZ,2023-07-21
000430.SZ,2023-07-24
000430.SZ,2023-07-25
000430.SZ,2023-07-26
000430.SZ,2023-07-27
000430.SZ,2023-07-28
000430.SZ,2023-07-31
000430.SZ,2023-08-01
000430.SZ,2023-08-02
000430.SZ,2023-08-03
000430.SZ,2023-08-04
000430.SZ,2023-08-07
000430.SZ,2023-08-08
000430.SZ,2023-08-09
000430.SZ,2023-08-10
000430.SZ,2023-08-11
000430.SZ,2023-08-14
000430.SZ,2023-08-15
000430.SZ,2023-08-16
000430.SZ,2023-08-17
000430.SZ,2023-08-18
000430.SZ,2023-08-21
000430.SZ,2023-08-22
000430.SZ,2023-08-23
000430.SZ,2023-08-24
000430.SZ,2023-08-25
000430.SZ,2023-08-28
000430.SZ,2023-08-29
000430.SZ,2023-08-30
000430.SZ,2023-08-31
000430.SZ,2023-09-01
000430.SZ,2023-09-04
000430.SZ,2023-09-05
000430.SZ,2023-09-06
000430.SZ,2023-09-07
000430.SZ,2023-09-08
000430.SZ,2023-09-11
000430.SZ,2023-09-12
000430.SZ,2023-09-13
000430.SZ,2023-09-14
000430.SZ,2023-09-15
000430.SZ,2023-09-18
000430.SZ,2023-09-19
000430.SZ,2023-09-20
000430.SZ,2023-09-21
000430.SZ,2023-09-22
000430.SZ,2023-09-25
000430.SZ,2023-09-26
000430.SZ,2023-09-27
000430.SZ,2023-09-28
000430.SZ,2023-10-09
000430.SZ,2023-10-10
000430.SZ,2023-10-11
000430.SZ,2023-10-12
000430.SZ,2023-10-13
000430.SZ,2023-10-16
000430.SZ,2023-10-17
000430.SZ,2023-10-18
000430.SZ,2023-10-19
000430.SZ,2023-10-20
000430.SZ,2023-10-23
000430.SZ,2023-10-24
000430.SZ,2023-10-25
000430.SZ,2023-10-26
000430.SZ,2023-10-27
000430.SZ,2023-10-30
000430.SZ,2023-10-31
000430.SZ,2023-11-01
000430.SZ,2023-11-02
000430.SZ,2023-11-03
000430.SZ,2023-11-06
000430.SZ,2023-11-07
000430.SZ,2023-11-08
000430.SZ,2023-11-09
000430.SZ,2023-11-10
000430.SZ,2023-11-13
000430.SZ,2023-11-14
000430.SZ,2023-11-15
000430.SZ,2023-11-16
000430.SZ,2023-11-17
000430.SZ,2023-11-20
000430.SZ,2023-11-21
000430.SZ,2023-11-22
000430.SZ,2023-11-23
000430.SZ,2023-11-24
000430.SZ,2023-11-27
000430.SZ,2023-11-28
000430.SZ,2023-11-29
000430.SZ,2023-11-30
000430.SZ,2023-12-01
000430.SZ,2023-12-04
000430.SZ,2023-12-05
000430.SZ,2023-12-06
000430.SZ,2023-12-07
000430.SZ,2023-12-08
000430.SZ,2023-12-11
000430.SZ,2023-12-12
000430.SZ,2023-12-13
000430.SZ,2023-12-14
000430.SZ,2023-12-15
000430.SZ,2023-12-18
000430.SZ,2023-12-19
000430.SZ,2023-12-20
000430.SZ,2023-12-21
000430.SZ,2023-12-22
000430.SZ,2023-12-25
000430.SZ,2023-12-26
000430.SZ,2023-12-27
000430.SZ,2023-12-28
000430.SZ,2023-12-29
000430.SZ,2024-01-02
000430.SZ,2024-01-03
000430.SZ,2024-01-04
000430.SZ,2024-01-05
000430.SZ,2024-01-08
000430.SZ,2024-01-09
000430.SZ,2024-01-10
000430.SZ,2024-01-11
000430.SZ,2024-01-12
000430.SZ,2024-01-15
000430.SZ,2024-01-16
000430.SZ,2024-01-17
000430.SZ,2024-01-18
000430.SZ,2024-01-19
000430.SZ,2024-01-22
000430.SZ,2024-01-23
000430.SZ,2024-01-24
000430.SZ,2024-01-25
000430.SZ,2024-01-26
000430.SZ,2024-01-29
000430.SZ,2024-01-30
000430.SZ,2024-01-31
000430.SZ,2024-02-01
000430.SZ,2024-02-02
000430.SZ,2024-02-05
000430.SZ,2024-02-06
